worm genus;a genus of worms
onychophora;enigmatic small elongated wormlike terrestrial invertebrates of damp dark habitats in warm regions. distinct from the phylum annelida. resemble slugs with legs and are sometimes described as the missing link between arthropods and annelids
dwarf lycopod;tufted spikemoss forming loose spreading mats. eastern north america
platanus;genus of large monoecious mostly deciduous trees: london plane. sycamore
genus euplectella;a genus of hyalospongiae
crowfoot family;a family of ranunculaceae
order procellariiformes;petrels. albatrosses. shearwaters. diving petrels
xyridales;an order of monocotyledonous herbs
piptadenia;tropical american trees and shrubs. often placed in other genera
oxandra;genus of tropical trees
cardiidae;somewhat heart-shaped sand-burrowing bivalve mollusks
genus lamium;genus of old world herbs: dead nettles. henbits
family caviidae;a family of hystricomorpha
manis;type genus of the manidae
strongylodon;genus of polynesian or southeastern asian shrubs or vines
cercidium;spiny shrubs or small trees sometimes placed in genus parkinsonia: paloverde
order mucorales;an order of mostly saprophytic fungi
lycopsida;club mosses and related forms: includes lycopodiales. isoetales. selaginellales. and extinct lepidodendrales. sometimes considered a subdivision of tracheophyta
genus erodium;geraniums of europe and south america and australia especially mountainous regions
centropomidae;a family of fish or the order perciformes including robolos
pomatomus;type genus of the pomatomidae
bombus;bumblebees
lepiotaceae;a family of fungi having free gills and a cap that is cleanly separable from the stalk
terrietia;small genus of timber trees of eastern asia, australasia and tropical africa that form large buttresses
kogia;pygmy sperm whales
genus cercopithecus;type genus of the cercopithecidae: guenons
trombiculidae;mites
cetorhinus;comprising only the basking sharks. in some classifications considered the type genus of a separate family cetorhinidae
psaltriparus;a genus of paridae
genus lonas;1 species: yellow ageratum
family gliridae;dormice and other old world forms
genus pygoscelis;a genus of spheniscidae
troglodytes;type genus of the troglodytidae
sanvitalia;small genus of tropical american annual herbs: creeping zinnia
family morchellaceae;a family of edible fungi including the true morels
genus thylogale;pademelons
genus irvingia;wild mango
petasites;genus of rhizomatous herbs of north temperate regions: butterbur. sweet coltsfoot
family teiidae;whiptails. etc.
anthericum;genus of old world (mainly african) perennial herbs. sometimes placed in family asphodelaceae
genus ictiobus;buffalo fishes
genus phasianus;type genus of the phasianidae: the typical pheasants
genus cathaya;one species. related to pseudotsuga and larix
fortunella;small genus of shrubs native to south china producing small ovoid orangelike fruits: kumquats
clinidae;viviparous blennies of temperate and tropical seas
family myxobacteriaceae;bacteria living mostly in soils and on dung
virgilia;genus of south african trees having pinnate leaves and rose-purple flowers followed by leathery pods
genus chloroxylon;deciduous trees of india and sri lanka
tolmiea;1 species: pickaback plant
lithocarpus;tanbark oaks
genus gymnopilus;a genus of fungus characterized by the orange color of the spore deposit
genus desmograthus;an amphibian genus of plethodontidae
genus carnegiea;l species: saguaro
family echeneididae;fishes having a sucking disk on the head for clinging to other fishes and to ships
order nudibranchia;comprising numerous marine gastropod mollusks lacking a shell in the adult state and usually having a body like a slug
sophora;cosmopolitan genus of trees and shrubs having odd-pinnate leaves and showy flowers. some species placed in genus podalyria
palinurus;type genus of the family palinuridae
guevina;1 species: chilean nut
genus shortia;evergreen perennial herbs of north america and eastern asia: oconee bells
porphyrio;old world purple gallinules
genus iris;large genus of perennials that develop from bulbs or rhizomes
genus prociphilus;a genus of aphididae
means grass;tall perennial grass that spreads by creeping rhizomes and is grown for fodder. naturalized in southern united states where it is a serious pest on cultivated land
genus scophthalmus;a genus of bothidae
genus formicarius;type genus of the formicariidae
genus dactylorhiza;genus of terrestrial orchids of europe and asia and north africa
genus cercidium;spiny shrubs or small trees sometimes placed in genus parkinsonia: paloverde
order myxobacterales;an order of higher bacteria
family danaidae;small family of usually tropical butterflies: monarch butterflies
genus giraffa;type genus of the giraffidae
saltwort family;family coextensive with genus batis: saltworts
casuarinales;order of chiefly australian trees and shrubs comprising the casuarinas. 1 family: casuarinaceae
leptinotarsa;colorado potato beetles
acorus;sweet flags. sometimes placed in subfamily acoraceae
subdivision ginkgophytina;ginkgos: in some systems classified as a class (ginkgopsida) and in others as a subdivision (ginkgophytina or ginkgophyta). used in some classifications for one of five subdivisions of gymnospermophyta
theraphosidae;large tropical spiders. tarantulas
genus calliphora;type genus of the calliphoridae: blowflies
genus oenanthe;poisonous herbs: water dropworts
genus coccyzus;a genus of cuculidae
ariidae;sea_catfishes
musophagidae;touracos
genus syngonium;epiphytic or terrestrial climbing shrubs of central and south america. used as ornamental houseplants for their velvety foliage
genus rhea;type genus of the rheidae. large tall flightless south american birds similar to but smaller than ostriches
anomiidae;saddle oysters
stanleya;prince's plume
chenopodium;goosefoot. pigweed
pinctada;pearl oysters
schizachyrium;overlaps the genus andropogon
lauraceae;a family of lauraceae
odocoileus;north american deer
genus circus;a genus of haws comprising the harriers
genus nigella;erect annual eurasian herbs
adenium;1 species: succulent shrub or tree of tropical africa and arabia
salmonidae;salmon and trout
genus gerres;type genus of the gerreidae
hypopitys;term used in some classifications for the pinesaps, which are usually included in the genus monotropa
genus clianthus;genus of semiprostrate australasian shrubs or vines
family potamogetonaceae;plants that grow in ponds and slow streams. sometimes includes family_zosteraceae
family pseudococcidae;scale-like insects: mealybugs
genus pseudechis;venomous australian blacksnakes
cimex;type genus of the cimicidae: bedbugs
family orchestiidae;beach fleas
order belemnoidea;order of extinct dibranchiate cephalopods related to the surviving spirulas
genus anigozanthus;genus of monocotyledonous plants with curious woolly flowers on sturdy stems above a fan of sword-shaped leaves. includes kangaroo's paw and cat's paw and australian sword lily. sometimes placed in family amaryllidaceae
genus beaumontia;small genus of evergreen woody vines. east india and asia
genus magnolia;shrubs or trees of north america or asia having entire evergreen or deciduous leaves. among most ancient of angiosperm genera
family brotulidae;chiefly deep-sea fishes related to the ophidiidae
turnix;type genus of the turnicidae: button quail
genus argiope;the type genus of argiopidae. small genus of orb-weaving spiders
genus drosera;the type genus of droseraceae including many low bog-inhabiting insectivorous plants
gomphotherium;type genus of the gomphotheriidae
genus liparis;genus of terrestrial and epiphytic orchids. pantropical to temperate
family mniaceae;family of erect mosses with club-shaped paraphyses and the hexagonal cells of the upper leaf surface. sometimes treated as a subfamily of bryaceae
myocastor;a genus of capromyidae
genus leptoptilus;adjutant birds and marabous
genus schizanthus;chilean herbs with orchidlike flowers
genus potentilla;chiefly perennial northern hemisphere herbs and shrubs: cinquefoil
erythroxylon;a large genus of south american shrubs and small trees of the family erythroxylaceae
genus teucrium;large widely distributed genus of perennial herbs or shrubs or subshrubs. native to mediterranean region to western asia
genus leycesteria;small species of suckering shrubs of western himalayas to china
genus lophodytes;a genus of merginae
limosa;godwits
genus tympanuchus;prairie chickens
panicum texanum;annual weedy grass used for hay
family sphyrnidae;hammerhead sharks. bonnethead sharks
family unionidae;freshwater mussels found worldwide
genus drynaria;large robust epiphytic ferns of tropical forest and scrub. africa and asia and australia
nasalis;proboscis monkeys
family cuterebridae;new world botflies
recurvirostridae;long-legged shorebirds
subphylum vertebrata;fishes. amphibians. reptiles. birds. mammals
order rhynchocephalia;tuataras. extinct forms from middle triassic
paeonia;peonies: herbaceous or shrubby plants having showy flowers
charales;small order of macroscopic fresh and brackish water algae with a distinct axis: stoneworts
genus pinus;type genus of the pinaceae: large genus of true pines
genus hermissenda;genus of marine sea slugs
genus micromeria;large genus of fragrant chiefly old world herbs
vittaria;tropical epiphytic ferns with straplike fronds
squatina;type genus of the squatinidae: angel sharks
genus coryanthes;small genus of tropical american epiphytic or lithophytic orchids
genus erythrina;genus of attractive tropical shrubs or trees with usually red flowers
ictodosauria;extinct reptiles of the upper triassic
genus polygonatum;sometimes placed in subfamily convallariaceae
genus cleistes;terrestrial orchids of north and south america having slender fibrous roots. allied to genus pogonia
sorghum halapense;tall perennial grass that spreads by creeping rhizomes and is grown for fodder. naturalized in southern united states where it is a serious pest on cultivated land
trichoceros;small genus of small epiphytic or terrestrial orchids of tropical south america
genus neophron;a genus of accipitridae
viscum;type genus of the viscaceae: old world evergreen shrubs parasitic on many trees including oaks but especially apple trees, poplars, aspens and cottonwoods
spalax;type genus of the spalacidae
family palmae;chiefly tropical trees and shrubs and vines usually having a tall columnar trunk bearing a crown of very large leaves. coextensive with the order palmales
family mugilidae;gray mullets
syngnathus;type genus of the family_syngnathidae
genus arilus;a genus of reduviidae
genus naias;sole genus of the family naiadaceae
genus argusianus;argus pheasants
genus pongamia;1 species: indian beech
family diaspididae;armored scales
sciuridae;true squirrels. ground squirrels. marmots. chipmunks. flying squirrels. spermophiles
ceratophyllum;constituting the family ceratophyllaceae: hornworts
genus anthus;pipits
mammutidae;extinct family: mastodons
genus scleroderma;genus of poisonous fungi having hard-skinned fruiting bodies: false truffles
class hydrozoa;coelenterates typically having alternation of generations. hydroid phase is usually colonial giving rise to the medusoid phase by budding: hydras and jellyfishes
genus turbatrix;a genus of cephalobidae
coniferophyta;cone-bearing gymnosperms dating from the carboniferous period. most are substantial trees. includes the classes pinopsida (subdivision pinophytina) and ginkgopsida (subdivision ginkgophytina) and taxopsida (subdivision taxophytina) which in turn include the surviving orders coniferales and taxales (yews) and sometimes ginkgoales as well as extinct orders such as cordaitales (of the carboniferous and permian) and volztiales (of the permian-jurassic)
melogale;a genus of mustelidae
chionanthus;deciduous trees or shrubs: fringe tree
family paguridae;hermit crabs
family calycanthaceae;shrubs or small trees having aromatic bark. the eastern united states and eastern asia
family oniscidae;a family of isopoda
order sapindales;an order od dicotyledonous plants
genus liomys;pocket mice
genus samia;silkworm moths
proboscidea;an order of animals including elephants and mammoths
kennedya;genus of australian woody vines having showy red or purplish flowers
division eubacteria;one-celled monerans having simple cells with rigid walls and (in motile types) flagella
order lechanorales;category used in some classification systems for all lichens that produce apothecia
full moon maple;leaves deeply incised and bright red in autumn. japan
genus cyclosorus;small genus of terrestrial ferns of tropical and subtropical southern hemisphere
genus iridoprocne;a genus of hirundinidae
lophosoriaceae;very small family of tree ferns
sandalwood family;chiefly tropical herbs or shrubs or trees bearing nuts or one-seeded fruit
cistus;small to medium-sized evergreen shrubs of southern europe and north africa
family bignoniaceae;trees or shrubs or woody vines or herbs having gourd-like or capsular fruit. sometimes placed in the order scrophulariales
genus protea;type genus of proteaceae. tropical african shrubs
superclass;(biology) a taxonomic class below a phylum and above a class
genus calanthe;large and widely distributed genus of terrestrial orchids
erithacus;old world thrushes
class lycopsida;club mosses and related forms: includes lycopodiales. isoetales. selaginellales. and extinct lepidodendrales. sometimes considered a subdivision of tracheophyta
genus pulicaria;genus of temperate old world herbs: fleabane
family hypericaceae;used in some classification systems for plants usually included among the guttiferae
family pipridae;manakins
antilocapridae;comprising only the pronghorns
family lepidodendraceae;fossil plants characterized by conspicuous spirally arranged leaf scars on the trunk
genus basiliscus;a reptile genus of iguanidae
genus mus;type genus of the muridae: common house mice. upper incisors have a square-notched tip
suborder heteroptera;true bugs
family amphiumidae;congo snakes
gastrophryne;primarily tropical narrow-mouthed toads
genus dimocarpus;longan
genus phlomis;large genus of old world aromatic herbs or subshrubs or shrubs having often woolly leaves
laminariaceae;large family of marine brown algae including many economically important large kelps chiefly of northern waters
genus brachycome;mostly australian herbs having basal or alternate leaves and loosely corymbose flower heads
lepidothamnus;small usually shrubby conifers
genus argynnis;fritillaries
family celastraceae;trees and shrubs and woody vines usually having bright-colored fruits
genus pellicularia;genus of fungi having the hymenium in the form of a crust. some species formerly placed in the form genus rhizoctinia
type genus;(biology) genus from which the name of a family or subfamily is formed. it is not necessarily the most representative genus by often the largest or best known or earliest described
thysanocarpus;small genus of herbs of upland regions of north american pacific coast
tylenchidae;a family of nematoda
atrichornithidae;scrubbirds
flacourtia family;chiefly tropical trees and shrubs
genus cladrastis;yellowwoods
sceloglaux;a genus of strigidae
genus amsinckia;rough annual herbs of europe and the americas: fiddlenecks
family carabidae;ground beetles
family argentinidae;small marine soft-finned fishes with long silvery bodies. related to salmons and trouts
pointed leaf maple;small shrubby japanese plant with leaves having 5 to 7 acuminate lobes. yellow in autumn
chrysopsis;golden aster
mytilidae;marine mussels
genus mentha;mint plants
mimosoideae;alternative name used in some classification systems for the family mimosaceae
raphus;type genus of the raphidae: dodos
order dictyoptera;in some classifications replaced by the orders (here suborders) blattodea (cockroaches) and manteodea (mantids). in former classifications often subsumed under a much broader order orthoptera
testudinata;tortoises and turtles
genus solea;type genus of the soleidae
order filicales;true (leptosporangiate) ferns
genus vanilla;large genus of tropical climbing orchids. old and new worlds
andreaeales;comprises a single genus: andreaea
caprella;skeleton shrimp
order ginkgoales;coextensive with the family ginkgoaceae: plants that first appeared in the permian and now represented by a single surviving species. often included in coniferales
family muraenidae;marine eels
genus scombresox;a genus of scomberesocidae
andreaea;brown or blackish alpine mosses having a dehiscent capsule with 4 longitudinal slits
genus bungarus;kraits
diervilla;small genus of low deciduous shrubs: bush honeysuckles
genus peperomia;large genus of small tropical usually succulent herbs: radiator plants
salsola;chiefly old world herbs or shrubs: saltworts
sauropodomorpha;gigantic herbivorous dinosaurs having huge bodies with long necks and small heads: prosauropoda and sauropoda (apatosaurus. diplodocus. titanosaurs)
welwitschiaceae;in some classifications included in the gnetaceae
genus heteroscelus;tattlers
coffea;coffee trees
family anthocerotaceae;hornworts
family sisyridae;an arthropod family of the order neuroptera that includes spongeflies
orchid family;enormous cosmopolitan family of perennial terrestrial or epiphytic plants with fleshy tubers or rootstocks and unusual flowers
genus catananche;genus of mediterranean herbs: cupid's dart
phaeophyceae;brown algae. mostly marine and littoral eukaryotic algae
fistulariidae;cornetfishes
thlaspi;herbs of temperate regions: pennycress
thysanoptera;thrips
phylum pogonophora;beard worms
order cycadofilicales;fossil gymnospermous trees or climbing plants from the devonian: seed ferns
pipile;genus of large crested guans (the piping guans)
tupaiidae;tree shrews. in some classifications tree shrews are considered prosimian primates
armillariella;a honey-colored diminutive form of genus armillaria. grows in clusters. edible (when cooked) but most attention has been on how to get rid of it
genus caranx;type genus of the carangidae
anthropoidea;monkeys. apes. hominids
family timaliidae;babblers
allium;large genus of perennial and biennial pungent bulbous plants: garlic. leek. onion. chive. sometimes placed in family alliacea as the type genus
nasua;coatis
family branchiostegidae;small family of marine fishes having covered gills
genus cnemidophorus;whiptails
gentianella;genus of herbs with flowers that resemble gentian. in some classifications included in genus gentiana
lycaenidae;family of small usually brilliantly colored butterflies. males have short forelegs
gesneria family;large family of tropical herbs or shrubs or lianas. in some classification systems placed in the order scrophulariales
ascaphus;type genus of the ascaphidae. in some classifications included in the family leiopelmatidae
nyctaginaceae;a family of flowering plants of the order caryophyllales
family tenebrionidae;a family of arthropods including darkling beetles and mealworms
phycomycetes;a large and probably unnatural group of fungi and funguslike organisms comprising the mastigomycota (including the oomycetes) and zygomycota subdivisions of the division eumycota. a category not used in all systems
family viverrinae;genets. civets. mongooses
genus ibero mesornis;a genus of fossil bird of the subclass archaeornithes
pithecellobium;thorny shrubs and trees of tropical and subtropical america and asia
suborder passeres;two names for the suborder of typical songbirds
family rhincodontidae;small-toothed sharks comprising only one species
amphiprion;damsel fishes
family tineidae;clothes moths
genus gasterosteus;type genus of the family gasterosteidae
family phyllidae;leaf insects
genus pristis;type genus of the pristidae
carpocapsa;codling moths
chaenomeles;flowering quince
genus azolla;a genus of fern sometimes placed in its own family azollaceae
leucadendron;large genus of evergreen trees and shrubs having silvery white leaves and solitary terminal flowers with conspicuous silvery bracts
genus algeripithecus;an extinct genus of hominoidea
bubalus;in some classification systems included in genus bos. water buffaloes
genus amphisbaena;type genus of the amphisbaenidae
genus limonium;sea lavender
arisaema;tuberous or rhizomatous herbaceous perennials
ononis;genus of european subshrubs or herbs having pink or purple or yellow solitary or clustered flowers: restharrow
crassostrea;virginia oysters
gerbillinae;gerbils
genus cynomys;prairie dogs
genus fasciola;a genus of fasciolidae
genus cedrela;tropical american trees
raphidae;extinct dodos and solitaires
amphisbaenia;type genus of the amphisbaenidae
podocarpus;evergreen trees or shrubs. sometimes classified as member of the family taxaceae
family helodermatidae;only known venomous lizards
genus nepa;type genus of the nepidae: typical elongate-oval water scorpions
sideritis;genus of woolly aromatic herbs or subshrubs or shrubs of mediterranean region
genus schlumbergera;south american epiphytic or lithophytic cacti
bacillaceae;typically rod-shaped usually gram-positive bacteria that produce endospores
genus coragyps;a genus of cathartidae
genus phascolarctos;koalas
genus mylodon;type genus of the mylodontidae. sometimes included in family megatheriidae
genus mulloidichthys;a genus of mullidae
family crotalidae;new world vipers: pit vipers
hippoglossoides;a genus of pleuronectidae
passifloraceae;tropical woody tendril-climbing vines
magnoliopsida;comprising seed plants that produce an embryo with paired cotyledons and net-veined leaves. divided into six (not always well distinguished) subclasses (or superorders): magnoliidae and hamamelidae (considered primitive). caryophyllidae (an early and distinctive offshoot). and three more or less advanced groups: dilleniidae. rosidae. asteridae
class;(biology) a taxonomic group containing one or more orders
genus cervus;type genus of the cervidae
genus eranthis;winter aconite
genus monomorium;a genus of formicidae
family cercopithecidae;old world monkeys: guenon. baboon. colobus monkey. langur. macaque. mandrill. mangabey. patas. proboscis monkey
genus geomys;type genus of the geomyidae
lepechinia;a dicotyledonous genus of the family labiatae
rhoeadales;an order of dicotyledonous plants
violaceae;genera viola. hybanthus. hymenanthera. melicytus
hypopachus;sheep frogs
anostraca;small aquatic crustaceans lacking a carapace: fairy shrimps. brine shrimps
ferocactus;genus of nearly globular cacti of mexico and southwestern united states: barrel cacti
genus chelifer;a genus of chelonethida
family solenidae;razor clams
family coraciidae;rollers
genus copernicia;slow-growing tropical fan palms
form division;an artificial taxonomic category for organisms of which the true relationships are obscure
genus lilium;type genus of liliaceae
family saccharomycetaceae;family of fungi comprising the typical yeasts: reproduce by budding and ferment carbohydrates
genus tenrec;type genus of the family tenrecidae: tenrecs
genus gnaphalium;large widely distributed genus of coarse hairy herbs with whitish involucres
genus erethizon;a genus of erethizontidae
genus calendula;marigold
heteranthera;mud plaintains
family porcellionidae;sow bugs
genus tiarella;small genus of north american herbs having mostly basal leaves and slender racemes of delicate white flowers
cornaceae;a rosid dicot family of the order umbellales including: genera aucuba. cornus. corokia. curtisia. griselinia. helwingia
melanotis;a genus of mimidae
genus seseli;moon carrots
family annonaceae;chiefly tropical trees or shrubs
genus bubulcus;small white egrets
balistes;type genus of the balistidae
genus isurus;mako sharks
order podicipediformes;grebes
genus epidendrum;large and variable genus of terrestrial or epiphytic or lithophytic orchids of tropical and subtropical americas. some native to united states
genus opheodrys;north american green snakes
ascaphidae;family of one species of frog: tailed frog
family melastomataceae;a family of trees and bushes and herbs of order myrtales. many are cultivated as ornamentals
genus percina;a genus of percidae
genus pothos;evergreen climbers with adhesive adventitious roots. southeastern asia and brazil
suillus;a genus of fungi belonging to the family boletaceae
order madreporaria;stony corals
arecaceae;chiefly tropical trees and shrubs and vines usually having a tall columnar trunk bearing a crown of very large leaves. coextensive with the order palmales
umbelliferae;plants having flowers in umbels: parsley. carrot. anise. caraway. celery. dill
uredinales;rust fungi: parasitic fungi causing rust in plants. sometimes placed in
centrospermae;used in former classification systems. approximately synonymous with order caryophyllales
tripleurospermum;small genus comprising plants often included in genus matricaria
tetrapturus;a genus of istiophoridae
pediculus;type genus of pediculidae: true lice infecting humans
genus genipa;tropical american evergreen trees or shrubs bearing yellow flowers and succulent edible fruit with a thick rind
genus simulium;type genus of the simuliidae: blackflies
lunaria;small genus of european herbs: honesty
foeniculum;very small genus of aromatic european herbs with pinnately compound leaves and yellow flowers
family lycoperdaceae;a fungus family belonging to the order lycoperdales. includes puffballs
sparidae;porgies. scups
genus haldea;ground snakes
genus pontederia;pickerelweed
order bennettitales;fossil gymnospermous plants of the carboniferous
family tiliaceae;chiefly trees and shrubs of tropical and temperate regions of especially southeastern asia and brazil. genera tilia. corchorus. entelia. grewia. sparmannia
mugiloidea;fishes distinguished by abdominal pelvic fins: families mugilidae. atherinidae. sphyraenidae
phleum;grasses native to temperate regions
genus sayornis;phoebes
genus chrysanthemum;in some classifications many plants usually assigned to the genus chrysanthemum have been divided among other genera: e.g. argyranthemum. dendranthema. leucanthemum. tanacetum
actinozoa;no alternation of generations the medusoid phase being entirely suppressed: sea anemones. corals
locusta;a genus of acrididae
genus lophophorus;monals
family cinclidae;water ouzels
sciuromorpha;large more or less primitive rodents: squirrels. marmots. gophers. beavers. etc.
genus mytilus;type genus of the family mytilidae: smooth-shelled marine mussels
opuntiales;coextensive with the family cactaceae: cactuses
digitaria;crab grass. finger grass
genus melicoccus;tropical american trees and shrubs bearing berries
genus schizachyrium;overlaps the genus andropogon
subclass rosidae;a group of trees and shrubs and herbs mostly with polypetalous flowers. contains 108 families including rosaceae. crassulaceae. myrtaceae. melastomaceae. euphorbiaceae. umbelliferae
fragaria;strawberries
spirillaceae;rigid spirally curved elongate bacteria
anthozoa;no alternation of generations the medusoid phase being entirely suppressed: sea anemones. corals
genus erythroxylon;a large genus of south american shrubs and small trees of the family erythroxylaceae
genus ceratozamia;small genus of mexican cycads. sometimes classified in family cycadaceae
catostomus;type genus of the family catostomidae
anacyclus;spanish pellitory
synercus;cape buffalo
hedge maple;shrubby eurasian maple often used as a hedge
subclass cirripedia;barnacles
potamogeton;a large genus of aquatic herbs found in quiet waters in temperate regions. leaves usually float on the water
genus cariama;type genus of the cariamidae comprising only the crested cariama
genus nyctimene;east indian fruit bats
castilleia;genus of western north and south american perennials often partially parasitic on roots of grasses
superclass agnatha;superclass of eel-shaped chordates lacking jaws and pelvic fins: lampreys. hagfishes. some extinct forms
form genus;(biology) an artificial taxonomic category for organisms of which the true relationships are obscure
orange mushroom pimple;a variety of mushroom pimple
common horehound;european aromatic herb with hairy leaves and numerous white flowers in axillary cymes. leaves yield a bitter extract use medicinally and as flavoring
class chondrichthyes;cartilaginous fishes
antrozous;a genus of vespertilionidae
suborder cephalaspida;extinct group of armored fishlike vertebrates. taxonomy is not clear
genus artocarpus;evergreen asiatic trees now grown through the tropics: breadfruit. jackfruit
oligochaeta;earthworms
helenium;genus of american herbs with yellow-rayed flowers: sneezeweeds
order ichthyosauria;extinct marine reptiles: ichthyosaurs
ruscaceae;one of many subfamilies into which some classification systems subdivide the liliaceae but not widely accepted
schlumbergera;south american epiphytic or lithophytic cacti
helvellaceae;family of false morels or lorchels. some are edible and some are poisonous
ariocarpus;slow-growing geophytic cacti. northern and eastern mexico. southern texas
acanthocereus;mostly trailing cacti having nocturnal white flowers. tropical america and caribbean region
milo;small drought-resistant sorghums having large yellow or whitish grains
merlangus;whitings
genus nasturtium;aquatic herbs
hexanchidae;primitive sharks
genus gopherus;gopher tortoises
lamnidae;oceanic sharks
onopordon;a genus of eurasian herbs of the family compositae with prickly foliage and large purplish flowers
cupressus;type genus of cupressaceae
genus bennettitis;type of the bennettitales
genus glossina;type genus of the glossinidae: tsetse flies
panicum capillare;north american grass with slender brushy panicles. often a weed on cultivated land
uintatheriidae;an extinct family of dinocerata
family myrmecophagidae;new world anteaters
genus phyllocladus;celery pine
orthopristis;a genus of haemulidae
scyliorhinidae;small bottom-dwelling sharks
genus litchi;chinese trees
family pomacentridae;damselfishes
genus keteleeria;a genus of keteleeria
numididae;guinea fowl and related birds of africa and madagascar
barnyard grass;a coarse annual panic grass. a cosmopolitan weed. occasionally used for hay or grazing
genus nephelium;a genus of dicotyledonous trees of the family sapindaceae that are native to asia and australia
arundinaria;north american bamboo
genus isopyrum;tufted perennial herbs of northern hemisphere
subfamily potoroinae;rat kangaroos
japanese millet;coarse annual grass cultivated in japan and southeastern asia for its edible seeds and for forage. important wildlife food in united states
superfamily platyrrhini;new world monkeys: capuchin. douroucouli. howler monkey. saki. spider monkey. squirrel monkey. titi. uakari. woolly monkey. marmoset. tamarin
genus polypedates;type genus of the polypedatidae
genus gymnocladus;small genus of deciduous trees of china and united states having paniculate flowers and thick pulpy pods
genus eleocharis;sedges having dense spikes of flowers and leaves reduced to basal sheaths
genus potamogale;type genus of the family potamogalidae: otter shrews
genus megalosaurus;type genus of the megalosauridae
genus lagenaria;bottle gourds
genus utahraptor;advanced bipedal carnivorous dinosaur
genus cercis;deciduous shrubs and trees of eastern asia, southern europe and the united states
genus bougainvillea;ornamental tropical woody vines
order polygonales;coextensive with the family polygonaceae,
bouteloua;forage grasses
thraupidae;tanagers
genus streptomyces;type genus of the family streptomycetacaea
genus crassula;type genus of crassulaceae. herbs and small shrubs having woody stems and succulent aerial parts
sipuncula;peanut worms
valerianaceae;genus of mostly herbs having a characteristic fetid odor
genus aconitum;genus of poisonous plants of temperate regions of northern hemisphere
philaenus;a genus of cercopidae
sillago;type genus of the sillaginidae
family nautilidae;spiral-shelled cephalopods
genus lindheimera;1 species: texas star
algeripithecus;an extinct genus of hominoidea
genus ipomoea;morning glory
pennisetum;a genus of old world grasses
echeneis;type genus of the echeneididae: typical remoras
procellariidae;petrels. fulmars. shearwaters.
order phasmida;in some classifications considered a suborder of orthoptera: stick insects. leaf insects
order octopoda;octopuses and paper nautilus
chlorophyceae;algae distinguished chiefly by having flagella and a clear green color, their chlorophyll being masked little if at all by other pigments
polypedatidae;old world tree frogs
toxostoma;thrashers
euphorbiaceae;a family of plants of order geraniales
acanthaceae;widely distributed herbs and shrubs and trees. sometimes placed in the order scrophulariales
genus welwitschia;type and sole genus of welwitschiaceae
genus phacelia;american herbs with usually pinatifid leaves and blue or purple or white flowers in scorpioid cymes
alopiidae;thresher sharks
genus triturus;chiefly aquatic salamanders
genus calochortus;large genus of western north american leafy-stemmed bulbous herbs
genus somateria;eider ducks
moehringia;low-growing herbs widely distributed in temperate and arctic northern hemisphere: sandworts. distinguished from members of the genus arenaria mainly by having 4- rather than 5-petaled flowers
iguanidae;new world lizards
family caprimulgidae;goatsuckers
order campanulales;an order or plants of the subclass asteridae including: campanulaceae. lobeliaceae. cucurbitaceae. goodeniaceae. stylidiaceae. calyceraceae. compositae
bacteria species;a species of bacteria
notoryctidae;pouched moles
lemmus;lemmings
culver s root;a tall perennial herb having spikes of small white or purple flowers. common in eastern north america
athyriaceae;alternative names for one of a number of families into which the family polypodiaceae has been subdivided in some classification systems
suborder clamatores;used in some classification systems. a suborder or superfamily nearly coextensive with suborder tyranni. passeriformes having relatively simple vocal organs and little power of song: clamatorial birds
caprimulgiformes;goatsuckers. frogmouths. oilbirds
subclass prototheria;echidnas. platypus
callistephus;1 species: erect asiatic herb with large flowers
genus hevea;small genus of south american trees yielding latex
suborder scorpaenoidea;mail-cheeked fishes: scorpionfishes. gurnards
genus solidago;goldenrod
ballota;perennial herbs or subshrubs of especially mediterranean area: black horehound
pedilanthus;tropical american succulent shrubs
ostraciidae;boxfishes
genus ceratotherium;african genus
myrica;deciduous aromatic shrubs or small trees
family psychodidae;very small two-winged flies with hairy wings that develop in moss and damp vegetable matter: sand flies
cinclus;type genus of the family cinclidae
genus cortinarius;the largest genus in th agaricales. rusty-spored agarics having prominent cortinae (cobwebby partial veils)
genus solanum;type genus of the solanaceae: nightshade. potato. eggplant. bittersweet
genus larrea;xerophytic evergreen shrubs. south america to southwestern united states
genus clathrus;type genus of the clathraceae
blatta;type genus of the blattidae: cockroaches infesting buildings worldwide
genus periploca;genus of woody vines of warm regions of the old world
agavaceae;chiefly tropical and xerophytic plants: includes dracenaceae (dracaenaceae). comprises plants that in some classifications are divided between the amaryllidaceae and the liliaceae
genus herrerasaurus;primitive theropod found in argentina. early triassic
geometridae;measuring worms
asclepiadaceae;widely distributed family of herbs and shrubs of the order gentianales. most with milky juice
phoeniculus;type and only genus of the family phoeniculidae
genus saponaria;mostly perennial old world herbs
family manidae;coextensive with the order pholidota
delphinus;type genus of the delphinidae
genus fagus;beeches
chrysopidae;green lacewings
genus pterocnemia;a genus of birds of the family rheidae
genus chlorura;towhees
pipridae;manakins
tineoidea;clothes moths. carpet moths. leaf miners
polygonatum;sometimes placed in subfamily convallariaceae
phylum acanthocephala;phylum or class of elongated wormlike parasites that live in the intestines of vertebrates: spiny-headed worms
heterotrichales;yellow-green_algae with simple or branching filaments. comprising the single family tribonemaceae
genus cuterebra;type genus of the cuterebridae
eumetopias;sea lions
