tightfistedness;extreme stinginess
overabundance;a quantity that is more than what is appropriate. 'four-year-olds have an overabundance of energy'
apparency;the property of being apparent
instancy;urgently demanding attention. 'the insistence of their hunger'. 'he pressed his demand with considerable instancy'
facial expression;the expression on a person's face. 'a sad expression'. 'a look of triumph'. 'an angry face'
sound;the particular auditory effect produced by a given cause. 'the sound of rain on the roof' or 'the beautiful sound of music'
scholasticism;orthodoxy of a scholastic variety
chrome red;a red pigment used in paints. basic lead chromate
reporting weight;a person's body weight (as an athlete's) at the beginning of the season (when first reporting for practice)
citizenship;conduct as a citizen. 'award for good citizenship'
latitude;scope for freedom of e.g. action or thought. freedom from restriction
head register;the higher ranges of the voice in speaking or singing. the vibrations of sung notes are felt in the head
noticeability;the property of being easy to see and understand
defenselessness;the property of being helpless in the face of attack
rigidity;the quality of being rigid and rigorously severe
tactlessness;the quality of lacking tact
check;a mark left after a small piece has been chopped or broken off of something
crispiness;firm but easily broken
civility;formal or perfunctory politeness
nervelessness;fearless self-possession in the face of danger
ineffectualness;lacking the power to be effective
luster;a quality that outshines the usual
feasibility;the quality of being doable
wildness;a state of nature
asexuality;having no evident sex or sex organs
dissoluteness;indiscipline with regard to sensuous pleasures
drawing power;the capacity for attracting people (customers or supporters)
key;pitch of the voice. 'he spoke in a low key'
soprano;the pitch range of the highest female voice
graduality;the quality of being gradual or of coming about by gradual stages
magnetic flux density;the amount of magnetic flux in a unit area perpendicular to the direction of magnetic flow
subjectivity;judgment based on individual personal impressions and feelings and opinions rather than external facts
eyesore;something very ugly and offensive
prankishness;the trait of indulging in disreputable pranks
royal purple;a shade of purple tinged with red
accuracy;the quality of being accurate and without error. 'the lawyer questioned the accuracy of my account'. 'he was beginning to doubt the truth of his compass'
sumptuosity;the quality possessed by something that is excessively expensive
luminance;the quality of being luminous. emitting or reflecting light. 'its luminosity is measured relative to that of our sun'
permutableness;ability to change sequence
news;the quality of being sufficiently interesting to be reported in news bulletins. 'the judge conceded the newsworthiness of the trial'. 'he is no longer news in the fashion world'
untidiness;the trait of being untidy and messy
vanity;the trait of being vain and conceited
nature worship;a system of religion that deifies and worships natural forces and phenomena
gelatinousness;the property of having a viscosity like jelly
torpor;inactivity resulting from torpidity and lack of vigor or energy
revivalism;an attempt to reawaken the evangelical faith
eyedness;the property of favoring one eye over the other (as in taking aim)
periodicity;the quality of recurring at intervals
poker face;a face without any interpretable expression (as that of a good poker player)
silliness;an impulsive scatterbrained manner
faintness;the quality of being dim
vanity;the quality of being valueless or futile. 'he rejected the vanities of the world'
ringing;having the character of a loud deep sound
affinity;inherent resemblance between persons or things
precariousness;extreme dangerousness
geometrical irregularity;an irregular asymmetry in shape. an irregular spatial pattern
imperiousness;the trait of being imperious and overbearing
note;a characteristic emotional quality. 'it ended on a sour note'. 'there was a note of gaiety in her manner'. 'he detected a note of sarcasm'
dmd;a doctor's degree in dental medicine
convenience;the quality of being useful and convenient. 'they offered the convenience of an installment plan'
conscientiousness;the trait of being painstaking and careful
ambiguity;unclearness by virtue of having more than one meaning
disobedience;the trait of being unwilling to obey
guise;an artful or simulated semblance. 'under the guise of friendship he betrayed them'
fruitfulness;the quality of something that causes or assists healthy growth
activity;the trait of being active. moving or acting rapidly and energetically. 'the level of activity declines with age'
suitableness;the quality of having the properties that are right for a specific purpose. 'an important requirement is suitability for long trips'
impracticableness;the quality of not being usable
fluster;a disposition that is confused or nervous and upset
light brown;a brown that light but unsaturated
contempt;a manner that is generally disrespectful and contemptuous
foulness;the attribute of having a strong offensive smell
joviality;a jovial nature
weightiness;the property of being comparatively great in weight. 'the heaviness of lead'
indetermination;the quality of being vague and poorly defined
weakness;powerlessness revealed by an inability to act. 'in spite of their weakness the group remains highly active'
engrossment;the quality of being intent and concentrated. 'the intentness of his gaze'
gray;a neutral achromatic color midway between while and black
sky blue;a light shade of blue
audaciousness;aggressive boldness or unmitigated effrontery. 'he had the audacity to question my decision'
injustice;the practice of being unjust or unfair
dignity;the quality of being worthy of esteem or respect: 'it was beneath his dignity to cheat'. 'showed his true dignity when under pressure'
march;a degree granted for the successful completion of advanced study of architecture
alacrity;liveliness and eagerness. 'he accepted with alacrity'
initiative;readiness to embark on bold new ventures
credibility;the quality of being believable or trustworthy
market value;the price at which buyers and sellers trade the item in an open marketplace
rapacity;extreme gluttony
first quarter;the first fourth of the moon's period of revolution around the earth
hinayana;one of two great schools of buddhist doctrine emphasizing personal salvation through one's own efforts. chiefly in sri_lanka (ceylon). myanmar (burma). thailand. cambodia
constructiveness;the quality of serving to build or improve
paris green;a shade of green tinged with yellow
bulk;the property possessed by a large mass
self concern;attempting to get personal recognition for yourself (especially by unacceptable means)
messiness;the trait of being untidy and messy
recklessness;the trait of giving little thought to danger
soundness;the firmness and tone of healthy tissue: 'his muscle firmness'
doctor of philosophy;a doctorate awarded for original contributions to knowledgea doctorate awarded for original contributions to knowledge
yellowish green;a shade of green tinged with yellow
capacity;ability to perform or produce
color;interest and variety and intensity: 'the puritan period was lacking in color'
similitude;similarity in appearance or character or nature between persons or things: 'man created god in his own likeness'
question;uncertainty about the truth or factuality of existence of something. 'the dubiousness of his claim'. 'there is no question about the validity of the enterprise'
finiteness;the quality of being finite
ossification;hardened conventionality
cadence;a recurrent rhythmical series
homogeneity;the quality of being similar or comparable in kind or nature. 'there is a remarkable homogeneity between the two companies'
falseness;the quality of not being open or truthful. deceitful or hypocritical
echo;the persistence of a sound after its source has stopped
selfishness;stinginess resulting from a concern for your own welfare and a disregard of others
manner of walking;manner of walking. 'he had a funny walk'
weakness;the property of lacking physical or mental strength. liability to failure under pressure or stress or strain. 'his weakness increased as he became older'. 'the weakness of the span was overlooked until it collapsed'
sexlessness;having no evident sex or sex organs
wind deflection;the deflection of a projectile resulting from the effects of wind
doctor of medicine;a doctor's degree in medicine
expedience;taking advantage of opportunities without regard for the consequences for others
untruthfulness;the quality of being untruthful
odiousness;the quality of being offensive
seriousness;the quality of arousing fear or distress. 'he learned the seriousness of his illness'
reflection;the ability to reflect beams or rays
deflexion;the property of being bent or deflected
magnificence;the quality of being magnificent or splendid or grand
minority;being or relating to the smaller in number of two parts. 'when the vote was taken they were in the minority'. 'he held a minority position'
unaffectedness;not affected. a personal manner that is not consciously constrained
splodge;an irregularly shaped spot
form;any spatial attribute (especially as defined by outline). 'he could barely make out their shapes through the smoke'
noiselessness;the property of making no noise
covalency;valence characterized by the sharing of electrons in a chemical compound. the number of pairs of electrons an atom can share
self interest;taking advantage of opportunities without regard for the consequences for others
ill breeding;impoliteness resulting from ignorance
speciality;a distinguishing trait
unprotectedness;the property of being helpless in the face of attack
nastiness;the quality of being unpleasant. 'i flinched at the nastiness of his wound'
agelessness;the quality of being timeless and eternal
minuteness;the property of being very small in size
momentum;the product of a body's mass and its velocity. 'the momentum of the particles was deduced from meteoritic velocities'
lifestyle;a manner of living that reflects the person's values and attitudes
predisposition;a disposition in advance to react in a particular way
gregariousness;the quality of being gregarious--having a dislike of being alone
agerasia;youthful appearance in an old person
grace;a sense of propriety and consideration for others
inordinateness;immoderation as a consequence of going beyond sufficient or permitted limits
elasticity of shear;the elasticity of a body that has been pulled out of shape by a shearing force
hike;an increase in cost. 'they asked for a 10% rise in rates'
homology;the quality of being similar or corresponding in position or value or structure or function
demureness;the trait of behaving with reserve and decorum
finality;the quality of being final or definitely settled: 'the finality of death'
master of science in engineering;a master's degree in engineering
mindlessness;the trait of acting rashly and without prudence
ignobleness;the quality of being ignoble
voice;the distinctive quality or pitch or condition of a person's speech. 'a shrill voice sounded behind us'
impulse;an impelling force or strength. 'the car's momentum carried it off the road'
multitudinousness;a very large number (especially of people)
lushness;the property of being lush and abundant
silver;a light shade of gray
sanctimoniousness;the quality of being hypocritically devout
incompetency;lack of physical or intellectual ability or qualifications
congruousness;the quality of agreeing. being suitable and appropriate
doctor of optometry;a doctor's degree in optometry
justness;the quality of being just or fair
impertinence;inappropriate playfulness
unconcern;the trait of remaining calm and seeming not to care. a casual lack of concern
favorableness;the quality of being encouraging or promising of a successful outcome
guard;a posture of defence in boxing or fencing. 'keep your guard up'
physical ability;the ability to perform some physical act. contrasting with mental ability
untrustworthiness;the trait of not deserving trust or confidence
rebelliousness;intentionally contemptuous behavior or attitude
artsd;an honorary arts degree
casualness;a casual manner
effortlessness;the quality of requiring little effort. 'such effortlessness is achieved only after hours of practice'
common touch;the property of appealing to people in general (usually by appearing to have qualities in common with them)
morality;concern with the distinction between good and evil or right and wrong. right or good conduct
rest mass;(physics) the mass of a body as measured when the body is at rest relative to an observer, an inherent property of the body
cleverness;the property of being ingenious. 'a plot of great ingenuity'. 'the cleverness of its design'
good fellowship;spirit of friendly familiarity and goodwill between comrades
unrighteousness;failure to adhere to moral principles
sounding;a measure of the depth of water taken by sounding
brownish yellow;yellow of low lightness with a brownish tinge
inertia;a disposition to remain inactive or inert. 'he had to overcome his inertia and get back to work'
obstreperousness;noisy defiance
expensiveness;the quality of being high-priced
lenity;mercifulness as a consequence of being lenient or tolerant
chartreuse;a shade of green tinged with yellow
actinism;the property of radiation that enables it to produce photochemical effects
help;a means of serving. 'of no avail'. 'there's no help for it'
slickness;a kind of fluent easy superficiality. 'the glibness of a high-pressure salesman'
odor;any property detected by the olfactory system
gracelessness;the inelegance of someone stiff and unrelaxed (as by embarrassment)
fragility;quality of being easily damaged or destroyed
traditionality;strict adherence to traditional methods or teachings
roominess;spatial largeness (especially inside a building)
tastefulness;elegance indicated by good taste
burn mark;a burned place or area
courageousness;a quality of spirit that enables you to face danger of pain without showing fear
dedication;complete and wholehearted fidelity
animal magnetism;magnetic personal charm
lung power;the ability to speak loudly
poison;anything that harms or destroys. 'the poison of fascism'
limitlessness;the quality of being infinite. without bound or limit
convexness;the property possessed by a convex shape
credulity;tendency to believe readily
disreputableness;dishonorableness by virtue of lacking respectability or a good reputation
barrenness;a condition yielding nothing of value
gravity;a manner that is serious and solemn
acceptability;satisfactoriness by virtue of conforming to approved standards
geometrical regularity;a property of polygons: the property of having equal sides and equal angles
porosity;the property of being porous. being able to absorb fluids
jocosity;the trait of merry joking
dead hand;the oppressive influence of past events of decisions
guile;the quality of being crafty
weather eye;vigilant attentiveness. 'he keeps a weather eye open for trouble'
style;a manner of performance. 'a manner of living'. 'in the characteristic new york style'. 'a way of life'
vastness;unusual largeness in size or extent
energy;an exertion of force. 'he plays tennis with great energy'
hubris;overbearing pride or presumption
rotundity;the roundness of a 3-dimensional object
muscle;muscular strength
gleaming;an appearance of reflected light
unintelligibility;incomprehensibility as a consequence of being unintelligible
piquancy;a tart spiciness
inconsequence;having no important effects or influence
implicitness;inexplicitness as a consequence of being implied or indirect
penetrability;the permeability of something that can be penetrated by a liquid
whimsicality;the trait of acting more from whim or caprice than from reason or judgment
measure;magnitude as determined by measurement or calculation
sameness;the quality of wearisome constancy and lack of variety. 'he had never grown accustomed to the monotony of his work'. 'he hated the sameness of the food the college served'
despicability;unworthiness by virtue of lacking higher values
strawberry;a soft red birthmark
illogicality;invalid or incorrect reasoning
naivete;lack of sophistication or worldliness
verve;an energetic style
magnetic intensity;the amount of magnetic flux in a unit area perpendicular to the direction of magnetic flow
urgency;pressing importance requiring speedy action: 'the urgency of his need'
timbre;the distinctive property of a complex sound (a voice or noise or musical sound). 'the timbre of her soprano was rich and lovely'. 'the muffled tones of the broken bell summoned them to meet'
unequivocalness;clarity achieved by the avoidance of ambiguity
spatiality;any property relating to or occupying space
m;concentration measured by the number of moles of solute per liter of solvent
arabesque;position in which the dancer has one leg raised behind and arms outstretched in a conventional pose
good nature;a cheerful, obliging disposition
half moon;the time at which the moon is at first or last quarter when half its face is illuminated
speciality;an asset of special worth or utility. 'cooking is his forte'
commodiousness;spatial largeness (especially inside a building)
exquisiteness;extreme beauty of a delicate sort
linkage;(genetics) traits that tend to be inherited together as a consequence of an association between their genes
resiliency;irrepressible liveliness and good spirit. 'i admired his bouyancy and persistent good humor'
objectivity;judgment based on observable phenomena and uninfluenced by emotions or personal prejudices
rapidity;a rate that is rapid
blueness;the color of the clear sky in the daytime. 'he had eyes of bright blue'
creditworthiness;trustworthiness with money
homeliness;an appearance that is not attractive or beautiful. 'fine clothes could not conceal the girl's homeliness'
retention;the power of retaining liquid: 'moisture retentivity of soil'
crudity;an impolite manner that is vulgar and lacking tact or refinement. 'the whole town was famous for its crudeness'
md;a doctor's degree in medicine
pugnacity;a disposition to fight
familiarity;a casual manner
infelicity;inappropriate and unpleasing manner or style esp of expression
solidity;the consistency of a solid
strength;capability in terms of personnel and materiel. 'we faced an army of great strength'
vainglory;outspoken conceit
chip;a mark left after a small piece has been chopped or broken off of something
americanism;loyalty to the usa and its institutions
originality;the quality of being new and original (not derived from something else)
badness;an attribute of mischievous children
perkiness;inappropriate playfulness
turnover;the volume measured in dollars. 'the store's dollar volume continues to rise'
decency;the quality of being polite and respectable
persona;(jungian psychology) a personal facade one presents to the world. 'a public image is as fragile as humpty dumpty'
taoism;popular chinese philosophical system based in teachings of lao-tse but characterized by a pantheism of many gods and the practices of alchemy and divination and magic
noticeableness;the property of being easy to see and understand
diameter;the length of a straight line passing through the center of a circle and connecting two points on the circumference
covetousness;extreme greed for material wealth
crust;the trait of being rude and impertinent. inclined to take liberties
rise;the amount a salary is increased. 'he got a raise'. 'he got a wage hike'
shiftlessness;a failure to be active as a consequence of lack of initiative or ambition
restraint;discipline in personal and social activities. 'he was a model of polite restraint'. 'she never lost control of herself'
insalubriousness;the quality of being insalubrious and debilitating
play;movement or space for movement. 'there was too much play in the steering wheel'
longness;duration as an extension
self discipline;the trait of practicing self discipline
venality;prostitution of talents or offices or services for reward
paleness;the property of having a naturally light complexion
profitability;the quality of affording gain or benefit or profit
self indulgence;an inability to resist the gratification of whims and desires
plainness;clarity as a consequence of being perspicuous
disharmony;a lack of harmony
givenness;the quality of being granted as a supposition. of being acknowledged or assumed
subversiveness;disloyalty by virtue of subversive behavior
computer architecture;(computer science) the structure and organization of a computer's hardware or system software
fieriness;the heat of fire
increment;the amount by which something increases. 'they proposed an increase of 15 percent in the fare'
wingspan;linear distance between the extremities of an airfoil
humorousness;the trait of merry joking
voodoo;a religious cult practiced chiefly in caribbean countries (especially haiti). involves witchcraft and animistic deities
sensitivity;the ability to respond to affective changes in your interpersonal environment
clarity;the quality of clear water. 'when she awoke the clarity was back in her eyes'
rhythm;recurring at regular intervals. 'the rhythm of the seasons'
refractoriness;the trait of being unmanageable
laboriousness;the quality of requiring extended effort
harmfulness;destructiveness that causes harm or injury
lead;the timing of ignition relative to the position of the piston in an internal-combustion engine
last quarter;the last fourth of the moon's period of revolution around the earth
perspicuity;clarity as a consequence of being perspicuous
circumference;the size of something as given by the distance around it
ataraxia;peace of mind
respectability;honorableness by virtue of being respectable and having a good reputation
b.o.;malodourousness resulting from a failure to bathe
presumption;audacious (even arrogant) behavior that you have no right to. 'he despised them for their presumptuousness'
am;a master's degree in arts and sciences
impotence;the quality of lacking strength or power. being weak and feeble
impermeability;the property of something that cannot be pervaded by a liquid
allowance;a permissible difference
naturalness;the quality of being natural or based on natural principles: 'he accepted the naturalness of death'. 'the spontaneous naturalness of his manner'
godliness;piety by virtue of being a godly person
richness;the property of being extremely abundant
crassness;the quality of being crass--devoid of refinement
value;relative darkness or lightness of a color: 'i establish the colors and principal values by organizing the painting into three values--dark, medium...and light'-joe hing lowe
structure;the manner of construction of something and the disposition of its parts. 'artists must study the structure of the human body'. 'the architecture of a computer's system software'
strikingness;the quality of standing out strongly and distinctly
vishnuism;worship of vishnu one of the 3 chief gods of the hindu pantheon
androgyny;showing characteristics of both sexes
virulence;extreme hostility. 'the virulence of the malicious old man'
commonality;sharing of common attributes
staidness;a trait of dignified seriousness
texture;the musical pattern created by parts being played or sung together. 'then another melodic line is added to the texture'
solemness;a trait of dignified seriousness
upper hand;position of advantage and control
desirableness;attractiveness to the opposite sex
incredibility;the quality of being incredible
exuberance;overflowing with enthusiasm
intentionality;expressive of intentions
selflessness;the quality of unselfish concern for the welfare of others
phase of the moon;a time when the moon presents a particular recurring appearance
picturesqueness;visually vivid and pleasing
unpalatableness;the property of being unacceptable to the taste
scarceness;a small and inadequate amount
asthenic type;slender, weak, and lightweight
flabbiness;a flabby softness
head tone;the higher ranges of the voice in speaking or singing. the vibrations of sung notes are felt in the head
fogginess;the quality of being indistinct
imperishability;the property of being resistant to decay. 'he advertised the imperishability of the product'
digestibility;the property of being easy to digest
wind exposure;exposure to the wind (as the exposed part of a vessel's hull which is responsible for wind resistance)
high spirits;exuberant liveliness
fault;responsibility for a bad situation or event. 'it was john's fault'
hurriedness;overly eager speed (and possible carelessness). 'he soon regretted his haste'
style;distinctive and stylish elegance. 'he wooed her with the confident dash of a cavalry officer'
register;the timbre characteristic of a certain range and manner of production of the human voice
curtailment;the temporal property of being cut short
jauntiness;a breezy liveliness. 'a delightful breeziness of manner'
triangularity;the property of being shaped like a triangle
coating;a decorative texture or appearance of a surface. 'the boat had a metallic finish'
variety;noticeable heterogeneity. 'a diversity of possibilities'. 'the range and variety of his work is amazing'
three dimensionality;the property of having three dimensions
militancy;a militant aggressiveness
hardness;the quality of being difficult to do. 'he assigned a series of problems of increasing hardness'
lightsomeness;the gracefulness of a person or animal that is quick and nimble
strength;an asset of special worth or utility. 'cooking is his forte'
wesleyanism;evangelical principles taught by john wesley
hurry;overly eager speed (and possible carelessness). 'he soon regretted his haste'
judaism;the monotheistic religion of the jews. based on the old testament and the talmud
coldness;the absence of heat. 'the coldness made our breath visible'. 'come in out of the cold'
forgivingness;tendency to be kind and forgiving
amenability;the trait of being cooperative
virtuousness;the quality of doing what is right and avoiding what is wrong
smirch;a blemish made by dirt. 'he had a smudge on his cheek'
immunity;the quality of being unaffected by something. 'immunity to criticism'
abnormality;marked strangeness as a consequence of being abnormal
integrity;moral soundness
personal manner;a way of acting or behaving
mole;a small congenital pigmented spot on the skin
sex;the properties that distinguish organisms on the basis of their reproductive roles. 'she didn't want to know the sex of the foetus'
swarthiness;a swarthy complexion
circumspection;the trait of being circumspect and prudent
hsuan chiao;popular chinese philosophical system based in teachings of lao-tse but characterized by a pantheism of many gods and the practices of alchemy and divination and magic
convincingness;the power of argument or evidence to cause belief
sivaism;worship of shiva one of the 3 chief gods of the hindu pantheon
bearing;characteristic way of bearing one's body: 'stood with good posture'
frostiness;a silvery-white color
insipidity;lacking any distinctive or interesting taste property
machismo;exaggerated masculinity
licentiousness;the quality of being lewd and lascivious
legitimacy;undisputed credibility
unreliability;the trait of not being dependable or reliable
vim;an imaginative lively style (especially style of writing). 'his writing conveys great energy'
opacity;incomprehensibility resulting from obscurity of meaning
reasonableness;goodness of reason and judgment. 'the judiciary is built on the reasonableness of judges'
body temperature;normal body temperature. 98.6f or 37 c
insolence;the trait of being rude and impertinent. inclined to take liberties
grotesquerie;ludicrous or incongruous unnaturalness or distortion
tangibleness;the quality of being perceivable by touch
poise;great coolness and composure under strain. 'keep your cool'
blotch;an irregularly shaped spot
light;brightness and animation of countenance. 'he had a sparkle in his eye'
proficiency;the quality of having great facility and competence
acceleration;increase in velocity
courtesy;a courteous manner
incompetence;lack of physical or intellectual ability or qualifications
build;constitution of the human body
incomprehensibility;the quality of being incomprehensible
uniformity;the quality of lacking diversity or variation (even to the point of boredom)
scent;any property detected by the olfactory system
surprisingness;extraordinariness by virtue of being unexpected. 'the unexpectedness of the warm welcome'
reasonableness;the property of being moderate in price. 'the store is famous for the reasonableness of its prices'
succession;a following of one thing after another in time. 'the doctor saw a sequence of patients'
crotchet;a strange attitude or habit
boringness;extreme dullness
unmalleability;a lack of malleability
worth;the quality that renders something desirable or valuable or useful
voluminosity;greatness of volume
squattiness;a short and stout physique
venetian red;a shade of brown with a tinge of red
liveliness;animation and energy in action or expression. 'it was a heavy play and the actors tried in vain to give life to it'
savoir faire;social skill
frolicsomeness;lively high-spirited playfulness
restraint;lack of ornamentation
blatancy;the property of being both obvious and offensive. 'the blatancy of his attempt to whitewash the crime was unforgivable'
elongation;the quality of being elongated
vinegarishness;a sourness resembling that of vinegar
tone;a quality of a given color that differs slightly from a primary color. 'after several trials he mixed the shade of pink that she wanted'
prosiness;commonplaceness as a consequence of being humdrum and not exciting
width;the extent of something from side to side
malice;the quality of threatening evil
officiousness;aggressiveness as evidenced by intruding--by advancing oneself or one's ideas without invitation
amicability;having a disposition characterized by warmth and friendliness
lucidity;free from obscurity and easy to understand. the comprehensibility of clear expression
touch;a distinguishing style. 'this room needs a woman's touch'
olive;a yellow-green color of low brightness and saturation
red;the quality or state of the chromatic color resembling the hue of blood
abstinence;the trait of abstaining (especially from alcohol)
perversity;deliberate unruliness
hoodooism;a religious cult practiced chiefly in caribbean countries (especially haiti). involves witchcraft and animistic deities
multiplicity;a large number
intentness;the quality of being intent and concentrated. 'the intentness of his gaze'
availableness;the quality of being at hand when needed
coarctation;(biology) a congenital narrowing of the aorta
greenish blue;a shade of blue tinged with green
scrupulousness;conformity to high standards of ethics or excellence
spiritedness;quality of being active or spirited or vigorous
delicacy;subtly skillful handling of a situation
obesity;more than average fatness
stateliness;a elaborate manner of doing something. 'she served coffee with great stateliness'
double first;(great britain) a first-class honours degree in two subjects
confines;a bounded scope. 'he stayed with the confines of the city'
hell to pay;dire consequences. 'when the pig ran away there was hell to pay'
tax increase;the amount by which taxes are increased. 'a tax increase of 15 percent'
zing;a activeness of an energetic personality
enervation;lack of vitality. 'an enervation of mind greater than any fatigue'
olive brown;a shade of brown tinged with green
margin;a permissible difference
lodging;the state or quality of being lodged or fixed even temporarily: 'the lodgment of the balloon in the tree'
cuteness;the quality of being appealing in a delicate or graceful way (of a girl or young woman)
average cost;total cost for all units bought (or produced) divided by the number of units
endurance;the power to withstand hardship or stress
covalence;valence characterized by the sharing of electrons in a chemical compound. the number of pairs of electrons an atom can share
unction;smug self-serving earnestness
freshness;originality by virtue of being refreshingly novel
insignificance;the quality of having little or no significance
anteriority;preceding in time
mystique;an aura of heightened value or interest or meaning surrounding a person or thing
turkey red;a bright orange-red color produced in cotton cloth with alizarine dye
pyknic type;round, fat, and heavy
perviousness;the permeability of something that can be penetrated by a liquid
tax assessment;the value set on taxable property
maleficence;the quality or nature of being harmful or evil
tractability;the trait of being easily persuaded
spot;an outstanding characteristic. 'his acting was one of the high points of the movie'
reliableness;the trait of being dependable or reliable
low pitch;a pitch that is perceived as below other pitches
inclemency;excessive sternness. 'the severity of his punishment was inhuman'
get up and go;enterprising or ambitious drive. 'europeans often laugh at american energy'
plangency;having the character of a loud deep sound
girlishness;being characteristic of a girl
assertiveness;aggressive self-assurance. given to making bold assertions
indian red;a reddish brown resembling the red soil used as body paint by american indians
inflexibility;a lack of physical flexibility
prolongation;amount or degree or range to which something extends: 'the wire has an extension of 50 feet'
size;a large magnitude. 'he blanched when he saw the size of the bill'. 'the only city of any size in that area'
cadency;a recurrent rhythmical series
subsequence;following in time
impression;an outward appearance. 'he made a good impression'. 'i wanted to create an impression of success'. 'she retained that bold effect in her reproductions of the original painting'
utility;the quality of being of practical use
depth;extent downward or backward or inward: 'the depth of the water'. 'depth of a shelf'. 'depth of a closet'
sound judgement;the capacity to assess situations or circumstances shrewdly and to draw sound conclusions
silver standard;a monetary standard under which the basic unit of currency is defined by a stated quantity of silver
bachelor s degree;an academic degree conferred on someone who has successfully completed undergraduate studies
gross national product;former measure of the us economy. the total market value of goods and services produced by all citizens and capital during a given period (usually 1 yr)
rapport;sympathetic compatibility
specificity;the quality of being specific to a particular organism: 'host specificity of a parasite'
reverberation;the persistence of a sound after its source has stopped
manageableness;capable of being managed or controlled
simplicity;freedom from difficulty or hardship or effort: 'he rose through the ranks with apparent ease'. 'they put it into containers for ease of transportation'
closeness;extreme stinginess
detergence;the quality of having cleansing power
quaintness;strangeness as a consequence of being old fashioned. 'some words in her dialect had a charming quaintness'
deep brown;a medium to dark brown color
tint;a quality of a given color that differs slightly from a primary color. 'after several trials he mixed the shade of pink that she wanted'
greyish brown;a color varying around light grayish brown. 'she wore a dun raincoat'
audacity;aggressive boldness or unmitigated effrontery. 'he had the audacity to question my decision'
circumference;the length of the closed curve of a circle
calibre;a degree or grade of excellence or worth: 'the quality of students has risen'. 'an executive of low caliber'
obscurity;the quality of being unclear or abstruse and hard to understand
ruggedness;the property of being big and strong
regularity;a property of polygons: the property of having equal sides and equal angles
decrescendo;(music) a gradual decrease in loudness
moldiness;the quality of smelling or tasting old or stale or mouldy
conduct;behavioral attributes
unmanageableness;the trait of being unmanageable
alienage;the quality of being alien
grandness;the quality of being magnificent or splendid or grand
simplicity;the quality of being simple or uncompounded. 'the simplicity of a crystal'
esprit de corps;the spirit of a group that makes the members want the group to succeed
blondness;the property of having a naturally light complexion
savoriness;having an appetizing flavor
animateness;having animal life as distinguished from plant life: 'full of life'
equivalent;the atomic weight of an element that has the same combining capacity as a given weight of another element. the standard is 8 for oxygen
glitter;the quality of glittering or sparkling brightly
catholicity;the quality of being universal. existing everywhere
longevity;the property of being long-lived
superabundance;a quantity that is more than what is appropriate. 'four-year-olds have an overabundance of energy'
judgement;the capacity to assess situations or circumstances shrewdly and to draw sound conclusions
foolhardiness;the trait of giving little thought to danger
mass defect;the amount by which the mass of an atomic nucleus is less than the sum of the masses of its constituent particles
point;a distinguishing or individuating characteristic. 'he knows my bad points as well as my good points'
essentiality;basic importance
analogy;similarity in some respect between things that are otherwise dissimilar: 'the operation of a computer presents an interesting analogy to the working of the brain'
slightness;the property of an attractively thin person
sedateness;a trait of dignified seriousness
haughtiness;overbearing pride evidenced by a superior manner toward inferiors
coherency;logical and orderly and consistent relation of parts
viscidness;the property of being cohesive and sticky
nimbleness;the gracefulness of a person or animal that is quick and nimble
unfamiliarity;unusualness as a consequence of not being well known
whitehead;a small whitish lump in the skin due to a clogged sebaceous gland
impropriety;an improper demeanor
change;a difference that is usually pleasant. 'he goes to france for variety'. 'it is a refreshing change to meet a woman mechanic'
huskiness;the property of being big and strong
disorderliness;untidiness (especially of clothing and appearance)
futility;uselessness as a consequence of having no practical result
magical power;an ability to perform magic
arm s length;a distance sufficient to exclude intimacy
puerility;a property characteristic of a child
bubbliness;the property of giving off bubbles
wickedness;estrangement from god
introversion;an introverted disposition. concern with one's own thoughts and feelings
harshness;excessive sternness. 'the severity of his punishment was inhuman'
virtue;any admirable quality or attribute. 'work of great merit'
destructiveness;the quality of causing destruction
quirkiness;a strange attitude or habit
view;the range of interest or activity that can be anticipated. 'it is beyond the horizon of present knowledge'
ingenuousness;openly straightforward or frank
limit;the greatest possible degree of something: 'what he did was beyond the bounds of acceptable behavior'. 'to the limit of his ability'
nobility;the quality of being exalted in character or ideals or conduct
willpower;control of one's behavior
evangelicalism;stresses the importance of personal conversion and faith as the means of salvation
explicitness;clarity as a consequence of being explicit
docility;the trait of being agreeably submissive and manageable
vigour;an imaginative lively style (especially style of writing). 'his writing conveys great energy'
unacceptability;unsatisfactoriness by virtue of not conforming to approved standards
timeliness;timely convenience
stridency;having the timbre of a loud high-pitched sound
dearth;an insufficient quantity or number
smoke;(informal) something with no concrete substance. 'his dreams all turned to smoke'. 'it was just smoke and mirrors'
succulence;a juicy appetizingness
philharmonic pitch;the pitch used to tune instruments for concert performances. usually assigns 440 hz to the a above middle c
cobalt blue;a shade of blue tinged with green
single mindedness;characterized by one unified purpose
decrease;the amount by which something decreases
impotency;the quality of lacking strength or power. being weak and feeble
rate;the relative speed of progress or change. 'he lived at a fast pace'. 'he works at a great rate'. 'the pace of events accelerated'
goodwill;a disposition to kindness and compassion. benign good will: 'the victor's grace in treating the vanquished'
abstemiousness;moderation in eating and drinking
pizzazz;a activeness of an energetic personality
unitarianism;christian doctrine that stresses individual freedom of belief and rejects the trinity
differential;a quality that differentiates between similar things
third dimensionality;the property of having three dimensions
effeminacy;the trait of being effeminate (derogatory of a man)
