alum;a white crystalline double sulfate of aluminum: the ammonium double sulfate of aluminum
kirsch;from fermented juice of black morello cherries
polyvinyl chloride;a polymer of vinyl chloride used instead of rubber in electric cables
alkene;any unsaturated aliphatic hydrocarbon
pisang wax;a wax obtained from the leaves of a plantain
atomic number;a soft silvery-white tetravalent radioactive metallic element. isotope 232 is used as a power source in nuclear reactors. occurs in thorite and in monazite sands
atomic number;a multivalent nonmetallic element of the nitrogen family that occurs commonly in inorganic phosphate rocks and as organic phosphates in all living cells. is highly reactive and occurs in several allotropic forms
decaf;coffee with the caffeine removed
herb tea;tea-like drink made of leaves of various herbs
powdered milk;dehydrated milk
haemoglobin;a conjugated protein composed of heme and globin that gives red blood cells their characteristic color. function primarily to transport oxygen from the lungs to the body tissues
ti;a light strong gray lustrous corrosion-resistant metallic element used in strong light-weight alloys (as for airplane parts). the main sources are rutile and ilmenite
atmosphere;the envelope of gases surrounding any celestial body
naphtha;any of various volatile flammable liquid hydrocarbon mixtures. used chiefly as solvents
sc;a white trivalent metallic element. sometimes classified in the rare earth group. occurs in the scandinavian mineral thortveitite
atomic number;a soft bluish-white ductile malleable toxic bivalent metallic element. occurs in association with zinc ores
gin and tonic;gin and quinine water
cupper;(british) a cup of tea
nylon;a thermoplastic polyamide. a family of high-strength resilient synthetic materials
bell metal;bronze with 3 or 4 parts copper to 1 part tin. used in making bells
sulphate;a salt or ester of sulphuric acid
alkyd;a resin used in adhesives and paints
grid metal;a kind of hard lead that is used for grids in storage batteries
acrylate;a salt or ester of propenoic acid
blubber;an insulating layer of fat under the skin of whales and other large marine mammals. used as a source of oil
nickel bronze;a bronze containing up to 30% nickel
chablis;dry white table wine of chablis france or resembling that wine
sterol;any of a group of natural steroid alcohols derived from plants or animals. they are waxy insoluble substances
alkyd resin;a resin used in adhesives and paints
edible fat;oily or greasy matter making up the bulk of fatty tissue in animals and in seeds and other plant tissue
magnesium sulfate;a salt of magnesium that is taken orally to treat heartburn and constipation and injected to prevent seizures
thulium;a soft silvery metallic element of the rare earth group. isotope 170 emits x-rays and is used in small portable x-ray machines. it occurs in monazite and apatite and xenotime
gum labdanum;a dark brown to greenish oleoresin that has a fragrant odor and is used as a fixative in perfumes. obtained as a juice from certain rockroses
acetylene;a colorless flammable gas used chiefly in welding and in organic synthesis
elastin;a fibrous scleroprotein found in elastic tissues such as the walls of arteries
glycerol;a glyceryl ester obtained by saponification of fats and oils
atomic number;a radioactive transuranic metallic element. discovered by bombarding uranium with helium atoms
high brass;brass with 35% zinc
atomic number;a rare silvery (usually trivalent) metallic element. brittle at low temperatures but liquid above room temperature. occurs in trace amounts in bauxite and zinc ores
scalded milk;milk heated almost to boiling
alkane series;a non-aromatic saturated hydrocarbon with the general formula cnh(2n+2)
urea;the chief solid component of mammalian urine. synthesized from ammonia and carbon dioxide and used as fertilizer and in animal feed and in plastics
leucine;a white crystalline amino acid that is essential for nutrition. obtained by the hydrolysis of most dietary proteins
rum cocktail;rum and lime or lemon juice
gilding metal;a brass that is rich in copper. used to make articles that were to be gilded
atomic number;a ductile gray metallic element of the lanthanide series. used in lighter flints. the most abundant of the rare-earth group
steel;an alloy of iron with small amounts of carbon and manganese. widely used in construction. mechanical properties can be varied over a wide range
zinc;a bluish-white lustrous metallic element. brittle at ordinary temperatures but malleable when heated. used in a wide variety of alloys and in galvanizing iron. it occurs as zinc sulphide in zinc blende
burton;a strong dark english ale (brewed at burton-on-trent in derbyshire)
chalcanthite;hydrated blue crystalline form of copper sulfate
elaeostearic acid;a crystalline unsaturated fatty acid
alkane;a non-aromatic saturated hydrocarbon with the general formula cnh(2n+2)
seltzer;naturally effervescent mineral water
john barleycorn;distilled rather than fermented
atomic number;a nonmetallic univalent element that is normally a colorless and odorless highly flammable diatomic gas. the simplest and lightest and most abundant element in the universe
aldose;a monosaccharide sugar that contains the aldehyde group or is hemiacetal
allotrope;a structurally different form of an element: 'graphite and diamond are allotropes of carbon'
sparkling wine;effervescent wine
silicate;a salt or ester derived from silicic acid
hemolysin;any substance that can cause lysis (destruction) of erythrocytes (red blood cells) and the release of their hemoglobin
half and half;half beer and half porter
water of hydration;the water present in hydrated compounds
gum resin;a mixture of resin and gum
demerara;a light brown raw cane sugar from guyana
barium monoxide;an oxide of barium. a whitish toxic powder
red brass;brass with enough copper to give it a reddish tint. used for plumbing pipe and other brass hardware and in cheap jewelry
fluosilicate;salt of fluosilicic acid
sodium orthophosphate;phosphate of sodium
manioc;a starch made by leaching and drying the root of the cassava plant. the source of tapioca. a staple food in the tropics
birch oil;a liquid ester with a strong odor of wintergreen. applied externally for minor muscle and joint pain
sod;surface layer of ground containing a matt of grass and grass roots
paraffin;from crude petroleum. used for candles and for preservative or waterproof coatings
peptide;two or more amino acids held together by peptide bonds
chicory root;root of the chicory plant roasted and ground to substitute for or adulterate coffee
suet;hard fat around the kidneys and loins in beef and mutton
baryta;any of several compounds of barium
barium dioxide;a white toxic powder obtained by heating barium oxide in air
grape juice;bottled juice of grapes
tristearin;a triglyceride of stearic acid
acetal;any organic compound formed by adding alcohol molecules to aldehyde molecules
atomic number;a brittle gray crystalline element that is a semiconducting metalloid (resembling silicon) used in transistors. occurs in germanite and argyrodite
sulfur dioxide;a toxic gas (so2) that occurs in the gases from volcanoes. used in many manufacturing processes
vinyl polymer;a thermoplastic derived by polymerization from compounds containing the vinyl group
rust;a red or brown oxide coating on iron or steel caused by the action of oxygen and moisture
trichloracetic acid;a strong acid made by chlorinating acetic acid
permalloy;an 80/20 alloy of nickel and iron. easily magnetized and demagnetized
iodoprotein;a protein that contains iodine
acidophilus milk;milk fermented by bacteria. used to treat gastrointestinal disorders
heliosphere;"the region inside the heliopause containing the sun and solar system"
cabernet;superior bordeaux-type red wine from california
propionic acid;a liquid fatty acid found in milk and sweat and in fuel distillates
silicic acid;a jelly-like substance (hydrated silica)
structural steel;a strong steel that is rolled into shapes that are used in construction
iron carbide;the iron carbide constituent of steel and cast iron. very hard and brittle
vitriol;(h2so4) a highly corrosive acid made from sulfur dioxide. widely used in the chemical industry
glycerin jelly;a mixture of glycerin and gelatin that is used in histology for mounting specimens
pilsner;pale beer with strong flavor of hops. especially a bohemian beer
indene;a colorless liquid hydrocarbon extracted from petroleum or coal tar and used in making synthetic resins
bromic acid;an unstable acid used as an oxidizing agent
malt whiskey;whiskey distilled in scotland. especially whiskey made from malted barley in a pot still
sr;a soft silver-white or yellowish metallic element of the alkali metal group. turns yellow in air. occurs in celestite and strontianite
sesame oil;oil obtained from sesame seeds
chartreuse;aromatic green or yellow liqueur flavored with orange peel and hyssop and peppermint. made at monastery near grenoble france
carbolic acid;a toxic white soluble crystalline acidic derivative of benzene. used in manufacturing and as a disinfectant and antiseptic
porter;dark sweet ale brewed from black malt
distillation;a liquid produced by condensation from a vapor during distilling. the product of distilling
cannabin;a poisonous resin obtained from the hemp plant. thought to be the active narcotic agent
atomic number;an intensely radioactive metallic element that occurs in minute amounts in uranium ores
alkali;a mixture of soluble salts found in arid soils and some bodies of water. detrimental to agriculture
calcined lime;a white crystalline oxide used in the production of calcium hydroxide
hdl;a lipoprotein that transports cholesterol in the blood. high levels are thought to be associated with decreased risk of coronary heart disease and atherosclerosis
coke;coca_cola is a trademarked cola
la;a white soft metallic element that tarnishes readily. occurs in rare earth minerals and is usually classified as a rare earth
gum dammar;any of various hard resins from trees of the family dipterocarpaceae and of the genus agathis. especially the amboyna pine
oxybenzene;a toxic white soluble crystalline acidic derivative of benzene. used in manufacturing and as a disinfectant and antiseptic
noble gas;any of the chemically inert gaseous elements of the helium group (group 8a or 0 of the periodic table)
stellite;(trademark) a cobalt-base alloy with chromium and other metals. very hard. used to make cutting tools and for surfaces subject to heavy wear
tantalum;a hard gray lustrous metallic element that is highly corrosion-resistant. occurs in niobite and fergusonite and tantalite
maltose;a white crystalline sugar formed during the digestion of starches
triphosphopyridine;a pyridine ring with three phosphorus groups
french vermouth;dry pale amber variety
glyceric acid;a syrupy acid obtained by oxidation of glycerol or glyceraldehyde
tungstate;a salt of tungstic acid
pinchbeck;an alloy of copper and zinc that is used in cheap jewelry to imitate gold
arsenic;a very poisonous metallic element that has three allotropic forms. arsenic and arsenic compounds are used as herbicides and insecticides and various alloys. found in arsenopyrite and orpiment and realgar
pantothen;a vitamin of the vitamin b complex that performs an important role in the oxidation of fats and carbohydrates and certain amino acids. occurs in many foods
dibasic salt;a salt derived by replacing two hydrogen atoms per molecule
lard oil;oil consisting chiefly of olein that is expressed from lard and used especially as a lubricant, cutting oil or illuminant
hard liquor;distilled rather than fermented
balsam of peru;dark brown syrupy balsam from the peruvian balsam tree used especially in dressing wounds and treating certain skin diseases
amide;any organic compound containing the group -conh2
ptomaine;any of various amines (such as putrescine or cadaverine) formed by the action of putrefactive bacteria
monomer;a simple compound whose molecules can join together to form polymers
medulla;a white fatty substance that forms a medullary sheath around the axis cylinder of some nerve fibers
drinking water;water suitable for drinking
ammonium hydroxide;a water solution of ammonia
capric acid;a fatty acid found in animal oils and fats. has an unpleasant smell resembling goats
neurochemical;any organic substance that occurs in neural activity
table wine;wine containing not more than 14 percent alcohol usually served with a meal
adenosine monophosphate;a nucleotide found in muscle cells and important in metabolism. reversibly convertible to adp and atp
americium;a radioactive transuranic metallic element. discovered by bombarding uranium with helium atoms
calx;a white crystalline oxide used in the production of calcium hydroxide
glutelin;a simple protein found in the seeds of cereals
co;a hard ferromagnetic silver-white bivalent or trivalent metallic element. a trace element in plant and animal nutrition
fermentation alcohol;the intoxicating agent in fermented and distilled liquors. used pure or denatured as a solvent or in medicines and colognes and cleaning solutions and rocket fuel
physostigmine;used in treatment of alzheimer's disease and glaucoma
rf;a radioactive transuranic element which has been synthesized
chrome alum;kcr(so4)2.12h2o. a violet-colored salt used in hide tanning and as a mordant in dyeing
molybdenum;a polyvalent metallic element that resembles chromium and tungsten in its properties. used to strengthen and harden steel
air;a mixture of gases (especially oxygen) required for breathing. the stuff that the wind consists of
cl;a common nonmetallic element belonging to the halogens. best known as a heavy yellow irritating toxic gas. used to purify water and as a bleaching agent and disinfectant. occurs naturally only as a salt (as in sea water)
daiquiri;rum and lime or lemon juice
glutaminic acid;an amino acid occurring in proteins. important in the nitrogen metabolism of plants. used in monosodium glutamate to enhance the flavor of meats
poison gas;(chemical warfare) a gas that is poisonous to breath or contact
kauri gum;resin of the kauri trees of n zealand. found usually as a fossil. also collected for making varnishes and linoleum
coffee capuccino;equal parts of espresso and hot milk topped with cinnamon and nutmeg and usually whipped cream
case hardened steel;steel with a surface that is much harder than the interior metal
fruit juice;drink produced by squeezing or crushing fruit
hard steel;steel with more than 0.3% carbon
bitartrate;an acid tartrate. a hydrogen tartrate
brucine;a bitter alkaloid poison resembling strychnine and extracted from nux vomica
coastland;land in a coastal area
gaba;an amino acid that is found in the central nervous system. acts as an inhibitory neurotransmitter
butadiene;a gaseous hydrocarbon c4h6. used in making synthetic rubbers
chloride;any salt of hydrochloric acid (containing the chloride ion)
diethylaminoethyl cellulose;used for chromatography
cranberry juice;always diluted and sweetened
dippel s oil;dark-colored ill-smelling oil obtained by carbonizing bone. used especially in sheep dips and in denaturing alcohol
capsid;the outer covering of protein surrounding the nucleic acid of a virus
eucalyptus oil;an essential oil obtained from the leaves of eucalypts
gd;a ductile silvery-white ductile ferromagnetic trivalent metallic element of the rare earth group
fusel oil;a mixture of amyl alcohols and propanol and butanol formed from distillation of fermented liquors
cane sugar;sucrose obtained from sugar cane
silver chloride;a chloride used chiefly in the manufacture of photographic emulsions
yellow metal;a brass that has more zinc and is stronger than alpha brass. used in making castings and hot-worked products
atomic number;a soft silvery metallic element of the rare earth group. isotope 170 emits x-rays and is used in small portable x-ray machines. it occurs in monazite and apatite and xenotime
zinc sulphate;a colorless water-soluble powder. used as a mordant or to preserve wood or for the electrodeposition of zinc
cooking oil;any of numerous oils used in cooking
ferritin;a compound containing 20% iron that is found in the intestines and liver and spleen. it is one of the chief forms in which iron is stored in the body
carboloy;(trademark) an alloy based on tungsten with cobalt or nickel as a binder. used in making metal-cutting tools
metaphosphoric acid;a glassy solid acid ([hpo3]n) often used as a dehydrating agent
cobbler;tall sweetened iced drink of wine or liquor with fruit
selenic acid;a strong acid (h2seo4) analogous to sulfuric acid
copal;a brittle aromatic resin used in varnishes
nerve gas;a toxic war gas that is inhaled or absorbed through the skin and has harmful effects on the nervous and respiratory system
sweet oil;mild vegetable oil when used as food. especially olive or edible rape oil
aminobenzine;oily poisonous liquid amine obtained from nitrobenzene and used to make dyes and plastics and medicines
aminobenzoic acid;a derivative of benzoic acid
zombie;several kinds of rum with fruit juice and usually apricot liqueur
ice water;water served ice-cold or with ice
amp;a nucleotide found in muscle cells and important in metabolism. reversibly convertible to adp and atp
dimethylglyoxime;a compound used in analysis as a precipitant for palladium or nickel
drippings;fat that exudes from meat while it is being roasted or fried
xe;a colorless odorless inert gaseous element occurring in the earth's atmosphere in trace amounts
whisky;made from fermented mash of grain
methanol;a light volatile flammable poisonous liquid alcohol. used as an antifreeze and solvent and fuel and as a denaturant for ethyl alcohol
calcium hypochlorite;any hypochlorite of calcium. used as a bleaching agent
margaric acid;a colorless crystalline synthetic fatty acid
xylose;a sugar extracted from wood or straw. used in foods for diabetics
medoc;red burgundy wine from medoc region of france
wood coal;a carbonaceous material obtained by heating wood or other organic matter in the absence of air
atomic number;a heavy brittle metallic element of the platinum group. used in alloys. occurs in natural alloys with platinum or osmium
chromic acid;an unstable acid known only in solution and as chromate salts
lager;beer stored for aging
copaline;partly mineralized copal dug from the ground
glycoprotein;a conjugated protein having a carbohydrate component
hard cider;alcoholic drink from fermented cider ('cider' and 'cyder' are european (especially british) usage for the fermented beverage)
isopropyl alcohol;used as antifreeze or a solvent
antiknock;any of various compounds that are added to gasoline to reduce engine knocking
decanedioic acid;a dicarboxylic acid used to make resins
caustic;any chemical substance that burns or destroys living tissue
milk powder;dehydrated milk
bouncing putty;a soft elastic silicone polymer that increases in elasticity with the application of force. used in the center of golf balls and as shock-absorbent padding
sb;a metallic element having four allotropic forms. used in a wide variety of alloys. found in stibnite
aleurone;granular protein in outermost layer of endosperm of many seeds or cereal grains
cm;a radioactive transuranic metallic element. produced by bombarding plutonium with helium nuclei
xenon;a colorless odorless inert gaseous element occurring in the earth's atmosphere in trace amounts
whale oil;a white to brown oil obtained from whale blubber. formerly used as an illuminant
gasohol;a gasoline substitute consisting of 90% gasoline and 10% grain alcohol from corn
bishop;port wine mulled with oranges and cloves
hypo eutectoid steel;a steel that contains less that 0.9% carbon
skimmed milk;milk from which the cream has been skimmed
azide;a chemical compound containing the azido group combined with an element or radical
glucoside;a glycoside derived from glucose
pulp;a mixture of cellulose fibers
ni hard;cast iron to which nickel has been added to make it resist abrasion
chloroprene;derivative of butadiene used in making neoprene by polymerization
pyrophoric alloy;an alloy that emits sparks when struck or scratched with steel. used in lighter flints
atomic number;a trivalent metallic element of the rare earth group. occurs together with yttrium. forms highly magnetic compounds
atomic number;a nonmetallic largely pentavalent heavy volatile corrosive dark brown liquid element belonging to the halogens. found in sea water
para aminobenzoic acid;a metabolic acid found in yeast and liver cells. used to make dyes and drugs
ozone;a colorless gas (o3) soluble in alkalis and cold water. a strong oxidizing agent. can be produced by electric discharge in oxygen or by the action of ultraviolet radiation on oxygen in the stratosphere (where it acts as a screen for ultraviolet radiation)
arrack;any of various strong liquors distilled from the fermented sap of toddy palms or from fermented molasses
muntz metal;a brass that has more zinc and is stronger than alpha brass. used in making castings and hot-worked products
eleostearic acid;a crystalline unsaturated fatty acid
fresh water;water that is not salty
sodium chloride;as white crystalline solid consisting mainly of sodium chloride
dubbin;tallow mixed with oil. used to make leather soft and waterproof
lignin;a complex polymer. the chief non-carbohydrate constituent of wood. binds to cellulose fibers to harden and strengthen cell walls of plants
guncotton;nitrocellulose containing a relatively large amount of nitrogen. highly explosive. used in making smokeless powder
quassia;a bitter compound used as an insecticide and tonic and vermifuge. extracted from the wood an bark of trees of the genera quassia and picrasma
ichor;(greek mythology) the rarified fluid said to flow in the veins of the gods
mastic;an aromatic exudate from the mastic tree. used chiefly in varnishes
atomic number;a crystalline metallic element not found in nature. occurs as one of the fission products of uranium
desoxyribonucleic acid;a nucleic acid consisting of large molecules shaped like a double helix. associated with the transmission of genetic information
cellulose acetate;an ester of acetic acid. used in fibers and fabrics. photographic films and varnishes
train oil;a white to brown oil obtained from whale blubber. formerly used as an illuminant
vinyl resin;a thermoplastic derived by polymerization from compounds containing the vinyl group
unp;a transuranic element that has not been found in nature
ketone;any of a class of organic compounds having a carbonyl group linked to a carbon atom in each of two hydrocarbon radicals
javel water;an aqueous solution of sodium hypochlorite
sward;surface layer of ground containing a matt of grass and grass roots
butyric acid;an unpleasant smelling fatty acid found especially in butter
scotch and soda;scotch malt whiskey and club soda
raffinose;a trisaccharide that occurs in sugar beets and cotton seeds and certain cereals
low density lipoprotein;a lipoprotein that transports cholesterol in the blood. high levels are thought to be associated with increased risk of coronary heart disease and atherosclerosis
microcosmic salt;a white salt present in urine and used to test for metal oxides
noble metal;any metal that is resistant to corrosion or oxidation
hydroiodic acid;an acid formed by aqueous solution of hydrogen iodide
neat s foot oil;a pale yellow oil made from the feet and legs of cattle. used as a dressing for leather
histone;a simple protein containing mainly basic amino acids. present in cell nuclei in association with nucleic acids
sulphuric acid;(h2so4) a highly corrosive acid made from sulfur dioxide. widely used in the chemical industry
marsala;dark sweet or semisweet dessert wine from sicily
compressed air;air at a pressure greater than that of the atmosphere. 'compressed air is often used to power machines'
soda water;effervescent beverage artificially charged with carbon dioxide
atomic number;a transuranic element
europium;a bivalent and trivalent metallic element of the rare earth group
zinc sulfate;a colorless water-soluble powder. used as a mordant or to preserve wood or for the electrodeposition of zinc
dopamine;a monoamine neurotransmitter found in the brain. as a drug (trade names dopastat and intropin) it is used to treat shock and hypotension
silicon oxide;a white or colorless vitreous insoluble solid. various forms occur widely in the earth's crust as quartz or cristobalite or tridymite or lechartelierite
pectin;any of various water-soluble colloidal carbohydrates that occur in ripe fruit and vegetables. used in making fruit jellies and jams
shortening;fat such as butter or lard used in baked goods
barium;a soft silvery metallic element of the alkali earth group. found in barite
jamaica quassia;similar to the extract from quassia amara
heptadecanoic acid;a colorless crystalline synthetic fatty acid
magnesium;a light silver-white ductile bivalent metallic element. in pure form it burns with brilliant white flame. occurs naturally only in combination (as in magnesite and dolomite and carnallite and spinel and olivine)
tryptophan;an amino acid that is essential for growth and normal metabolism. a precursor of niacin
ice shelf;ice that is attached to land but projects out to sea
nitroglycerine;a heavy yellow poisonous oily explosive liquid obtained by nitrating glycerol. used in making explosives and medically as a vasodilator
corn liquor;illegally whiskey distilled from a corn mash
cordial;strong highly flavored sweet liquor usually drunk after a meal
potassium chlorate;a white salt (kclo3) used in matches, fireworks, and explosives. also used as a disinfectant and bleaching_agent
ethyl acetate;a fragrant colorless flammable volatile liquid ester made from ethanol and acetic acid. used in flavorings and perfumes and as a solvent for plastics
monel metal;an alloy of nickel and copper and other metals (such as iron and/or manganese and/or aluminum)
polonium;a radioactive metallic_element that is similar to tellurium and bismuth. occurs in uranium ores but can be produced by bombarding bismuth with neutrons in a nuclear reactor
samarium;a gray lustrous metallic element of the rare earth group. is used in special alloys. occurs in monazite and bastnasite
hot toddy;liquor and water with sugar and spices and served hot
guaiacum;medicinal resin from the lignum vitae tree
solder;an alloy (usually of lead and tin) used when melted to join two metal surfaces
drinkable;any liquid suitable for drinking: 'may i take your beverage order?'
vintage;a season's yield of wine from a vineyard
tetrabasic acid;an acid containing four replaceable hydrogen atoms per molecule
ni;a hard malleable ductile silvery metallic element that is resistant to corrosion. used in alloys. occurs in pentlandite and smaltite and garnierite and millerite
antimony;a metallic element having four allotropic forms. used in a wide variety of alloys. found in stibnite
saint emilion;full-bodied red wine from around the town of saint_emilion in bordeaux
spring water;water from a spring
purine;any of several bases that are derivatives of purine
boric acid;any of various acids containing boron and oxygen
epoxy glue;a thermosetting resin. used chiefly in strong adhesives and coatings and laminates
kino gum;reddish or black juice or resin from certain trees of the genus pterocarpus and used in medicine and tanning etc
common salt;as white crystalline solid consisting mainly of sodium chloride
burnt lime;a white crystalline oxide used in the production of calcium hydroxide
amyl alcohol;a mixture of 2 or more isomeric alcohols. used as a solvent and in organic synthesis
zanzibar copal;a hard copal derived from an african tree
unnilquadium;a radioactive transuranic element which has been synthesized
galactose;a simple sugar found in lactose
javelle water;an aqueous solution of sodium hypochlorite
retsina;greek wine flavored with resin
di iodotyrosine;tyrosine with two iodine atoms added
plasma;an electrically neutral ionized gas in an electric discharge. distinctly different from solids and liquids and normal gases
badlands;deeply eroded barren land
sweet cider;unfermented cider
oxygen;a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas. constitutes 28 percent of the atmosphere by volume. the most abundant element in the earth's crust
mine pig;pig iron made entirely from ore
phosphine;a colorless gas with a strong fishy smell. used as a pesticide
hydrate;any compound that contains water of crystallization
phenylalanine;an essential amino acid needed for growth of children and for protein metabolism in children and adults. abundant in milk and eggs. it is normally converted to tyrosine in the human body
propenonitrile;a colorless liquid unsaturated nitrile made from propene
permanganate of potash;a poisonous salt that forms dark purple crystals and is purple-red when dissolved in water. used as an oxidizing and bleaching agent and as a disinfectant and antiseptic
babbitt metal;a alloy of tin with some copper and antimony. an anti-friction lining for bearings
copper sulfate;a copper salt made by the action of sulfuric acid on copper oxide
oil of turpentine;volatile liquid distilled from turpentine oleoresin. used as paint thinner and solvent and medicinally
pousse cafe;small drink served after dinner (especially several liqueurs poured carefully so as to remain in separate layers)
athar;essential oil or perfume obtained from flowers
hn;a colorless explosive liquid that is volatile and poisonous and foul-smelling
hexadecanoic acid;a saturated fatty acid. glycerides of palmitic acid occur widely in plant and animal oils and fats
liquefied petroleum gas;hydrocarbon gases, usually propane or butane, kept under pressure
tap water;water directly from the spigot
structural iron;iron that has been cast or worked in structural shapes
halide;a salt of any halogen acid
ice coffee;strong sweetened coffee served over ice with cream
carbon steel;steel whose characteristics are determined by the amount of carbon it contains
atomic number;a light soft silver-white metallic element of the alkali metal group. oxidizes rapidly in air and reacts violently with water. is abundant in nature in combined forms occurring in sea water and in carnallite and kainite and sylvite
sodium carbonate;a sodium salt of carbonic acid. used in making soap powders and glass and paper
soda;a sweet drink containing carbonated water and flavoring. 'in new england they call sodas tonics'
ru;a rare polyvalent metallic element of the platinum group. it is found associated with platinum
calcium hydrate;a caustic substance (ca(oh)2) produced by heating limestone
sternutatory;a chemical substance that causes sneezing and coughing and crying. 'police used a sternutatory to subdue the mob'
sheep dip;a liquid mixture containing pesticides in which sheep are dipped to kill parasites
white wine;pale yellowish wine made from white grapes or red grapes with skins removed before fermentation
coffee;a beverage consisting of an infusion of ground coffee beans. 'he ordered a cup of coffee'
marc;made from residue of grapes or apples after pressing
glucose;a monosaccharide sugar that has several forms. an important source of physiological energy
gas oil;an oil formed through distillation of petroleum of intermediate boiling range and viscosity
aldehyde;any of a class of highly reactive chemical compounds. used in making resins and dyes and organic acids
asa dulcis;gum resin used especially in treating skin irritation
beaujolais;dry fruity red table wine drunk within a few months after it is made. from southern burgundy in france
ta;a hard gray lustrous metallic element that is highly corrosion-resistant. occurs in niobite and fergusonite and tantalite
vodka martini;martini made with vodka rather than gin
tonic water;lime- or lemon-flavored carbonated water containing quinine
schenk;beer brewed for immediate consumption
albumen;a simple water-soluble protein found in many animal tissues and liquids
pectic acid;a complex acid that occurs in ripe fruit and some vegetables
leaded bronze;bronze to which 1-4% lead is added
potassium bromide;a white crystalline salt (kbr) used as a sedative and in photography
trichloride;any compound containing three chlorine atoms in each molecule
vermouth;any of several white wines flavored with aromatic herbs. used as aperitifs or in mixed drinks
vodka;unaged colorless liquor originating in russia
alum;a white crystalline double sulfate of aluminum: the potassium double sulfate of aluminum
cerotic acid;a white solid fatty acid found in waxes (such as beeswax)
applejack;distilled from hard cider
eggnog;sweetened milk or cream mixed with eggs and usually alcoholic liquor
cupric sulphate;a copper salt made by the action of sulfuric acid on copper oxide
sodium benzoate;a white crystalline salt used as a food preservative and antiseptic
pitch;any of various dark heavy viscid substances obtained as a residue
coconut oil;oil from coconuts
manganate;a salt of manganic acid containing manganese as its anion
dolphin oil;an unsaturated fatty oil obtained from dolphins and used as a fine lubricant
elemi;fragrant resin obtain from trees of the family burseraceae and used as incense
cyanamide;a weak soluble dibasic acid (the parent acid of cyanamide salts)
manganese steel;a steel with a relatively large component (10-14%) of manganese. highly resistant to wear and shock
substance;that which has mass and occupies space. 'an atom is the smallest indivisible unit of matter'
fulminate of mercury;a fulminate that when dry explodes violently if struck or heated. used in detonators and blasting caps and percussion caps
pack ice;a large expanse of floating ice
dry milk;dehydrated milk
saltwater;water containing salts. 'the water in the ocean is all saltwater'
hemoglobin;a conjugated protein composed of heme and globin that gives red blood cells their characteristic color. function primarily to transport oxygen from the lungs to the body tissues
as;a very poisonous metallic element that has three allotropic forms. arsenic and arsenic compounds are used as herbicides and insecticides and various alloys. found in arsenopyrite and orpiment and realgar
enantiomer;either one of a pair of compounds (crystals or molecules) that are mirror images on each other but are not identical
oleo oil;obtained from beef fat. used in making margarine and soap and in lubrication
arsenic trioxide;a white powdered poisonous trioxide of arsenic. used in manufacturing glass and as a pesticide and weed killer
atomic number;a soft silvery metallic element of the alkali metal group. burns in air and reacts violently in water. occurs in carnallite and lepidolite and pollucite
minium;a reddish oxide of lead (pb3o4) used as a pigment in paints and in glass and ceramics
pastis;similar to absinthe but containing no wormwood
lecithin;a yellow phospholipid found in egg yolk and in many plant and animal cells. used commercially as an emulsifier
repellent;a chemical substance that repels
lucite;(trademark) a transparent thermoplastic acrylic resin
tuberculin;a sterile liquid containing a purified protein derivative of the tuberculosis bacterium. used in the diagnosis of tuberculosis
fruit punch;a punch made of fruit juices mixed with water or soda water (with or without alcohol)
palmitic acid;a saturated fatty acid. glycerides of palmitic acid occur widely in plant and animal oils and fats
petrol;a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum. used mainly as a fuel in internal-combustion engines
kvass;(russian) fermented beverage resembling beer but made from rye or barley
silex;a pure form of finely ground silica
ethylene;a flammable colorless gaseous alkene. obtained from petroleum and natural gas and used in manufacturing many other chemicals
rain;drops of fresh water that fall as precipitation from clouds
norepinephrine;a hormone secreted by the adrenal medulla and also released at synapses
vanadate;a salt or ester of vanadic acid. an anion containing pentavalent vanadium
phenylic acid;a toxic white soluble crystalline acidic derivative of benzene. used in manufacturing and as a disinfectant and antiseptic
safflower oil;oil from seeds of the safflower plant
lauryl alcohol;an insoluble solid alcohol used to make detergents
eu;a bivalent and trivalent metallic element of the rare earth group
sodium fluoride;a colorless crystalline salt of sodium (naf) used in fluoridation of water and to prevent tooth decay
riesling;fragrant dry or sweet white wine from the rhine valley or a similar wine from california
collins;tall iced drink of liquor (usually gin) with fruit juice
titanic oxide;a white powder used as a pigment for its high covering power and durability
melamine;a white crystalline organic base. used mainly in making melamine resins
chlorine;a common nonmetallic element belonging to the halogens. best known as a heavy yellow irritating toxic gas. used to purify water and as a bleaching agent and disinfectant. occurs naturally only as a salt (as in sea water)
perchlorate;a salt of perchloric acid
tequila;mexican liquor made from fermented juices of an agave plant
carbonated water;effervescent beverage artificially charged with carbon dioxide
heparin;a polysaccharide produced in basophils (especially in the lung and liver) and that inhibit the activity of thrombin in coagulation of the blood. heparin sodium is used as an anticoagulant in the treatment of thrombosis
butane;occurs in natural gas. used in the manufacture of rubber and fuels
cellulose nitrate;nitric acid esters. used in lacquers and explosives
protoactinium;a short-lived radioactive metallic element formed from uranium and disintegrating into actinium and then into lead
germanium;a brittle gray crystalline element that is a semiconducting metalloid (resembling silicon) used in transistors. occurs in germanite and argyrodite
buttermilk;residue from making butter from sour raw milk. or pasteurized milk curdled by adding a culture
